sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
barcode17_AbiE_2	AbiE	AbiE	bc17_01049	bc17_01050	bc17_01049,bc17_01050	2	AbiEii__AbiEii,AbiEii__AbiEi_3
barcode17_Lamassu-Cap4_nuclease_4	Lamassu-Fam	Lamassu-Cap4_nuclease	bc17_02676	bc17_02680	bc17_02676,bc17_02680	2	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
barcode17_SoFic_14	SoFIC	SoFic	bc17_00054	bc17_00054	bc17_00054	1	SoFic__SoFic
barcode17_SoFic_15	SoFIC	SoFic	bc17_00221	bc17_00221	bc17_00221	1	SoFic__SoFic
barcode17_Retron_XII_13	Retron	Retron_XII	bc17_00588	bc17_00588	bc17_00588	1	Retron_XII__RT_12
barcode17_Retron_III_12	Retron	Retron_III	bc17_02459	bc17_02460	bc17_02459,bc17_02460	2	Retron_III__PRTase_WH,Retron__RT_Tot
barcode17_CBASS_III_11	CBASS	CBASS_III	bc17_02464	bc17_02468	bc17_02464,bc17_02465,bc17_02466,bc17_02468	4	CBASS__Cyclase_II,CBASS__bacHORMA_1,CBASS__TRIP13,CBASS__Effector_TIR
barcode17_PrrC_16	PrrC	PrrC	bc17_00471	bc17_00475	bc17_00471,bc17_00472,bc17_00473,bc17_00475	4	RM__Type_I_REases,RM__Type_I_S,PrrC__PrrC,RM__Type_I_MTases
barcode17_RM_Type_I_18	RM	RM_Type_I	bc17_01218	bc17_01221	bc17_01218,bc17_01219,bc17_01221	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode17_RM_Type_IIG_20	RM	RM_Type_IIG	bc17_02102	bc17_02102	bc17_02102	1	RM_Type_IIG__Type_IIG
barcode17_RM_Type_I_19	RM	RM_Type_I	bc17_03231	bc17_03234	bc17_03231,bc17_03232,bc17_03234	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode17_Wadjet_I_6	Wadjet	Wadjet_I	bc17_04313	bc17_04316	bc17_04313,bc17_04315,bc17_04316	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode17_RosmerTA_7	RosmerTA	RosmerTA	bc17_02100	bc17_02101	bc17_02100,bc17_02101	2	RosmerTA__RmrT_2634932349,RosmerTA__RmrA_2634932349
barcode17_Zorya_TypeI_8	Zorya	Zorya_TypeI	bc17_02830	bc17_02833	bc17_02830,bc17_02831,bc17_02832,bc17_02833	4	Zorya_TypeI__ZorD,Zorya_TypeI__ZorC,Zorya__ZorB,Zorya__ZorA
barcode18_AbiD_1	AbiD	AbiD	bc18_00339	bc18_00339	bc18_00339	1	AbiD__AbiD
barcode18_Gao_Ppl_2	Gao_Ppl	Gao_Ppl	bc18_00538	bc18_00538	bc18_00538	1	Gao_Ppl__PplA
barcode18_ShosTA_3	ShosTA	ShosTA	bc18_01253	bc18_01254	bc18_01253,bc18_01254	2	ShosTA__ShosA,ShosTA__ShosT
barcode18_Wadjet_I_5	Wadjet	Wadjet_I	bc18_04363	bc18_04365	bc18_04363,bc18_04364,bc18_04365	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode18_SoFic_11	SoFIC	SoFic	bc18_00234	bc18_00234	bc18_00234	1	SoFic__SoFic
barcode18_Retron_XII_10	Retron	Retron_XII	bc18_00639	bc18_00639	bc18_00639	1	Retron_XII__RT_12
barcode18_CBASS_II_9	CBASS	CBASS_II	bc18_02844	bc18_02848	bc18_02844,bc18_02847,bc18_02848	3	CBASS__Phospholipase,CBASS__Cyclase_II,CBASS__AG_E1_ThiF
barcode18_RM_Type_I_12	RM	RM_Type_I	bc18_01311	bc18_01314	bc18_01311,bc18_01312,bc18_01314	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode18_Shango_6	Shango	Shango	bc18_02855	bc18_02857	bc18_02855,bc18_02856,bc18_02857	3	Shango__SngA,Shango__SngB,Shango__SngC
barcode19_RM_Type_III_14	RM	RM_Type_III	bc19_01022	bc19_01023	bc19_01022,bc19_01023	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
barcode19_RM_Type_I_11	RM	RM_Type_I	bc19_01201	bc19_01204	bc19_01201,bc19_01202,bc19_01204	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode19_RM_Type_IIG_13	RM	RM_Type_IIG	bc19_02352	bc19_02352	bc19_02352	1	RM_Type_IIG__Type_IIG
barcode19_RM_Type_III_15	RM	RM_Type_III	bc19_03201	bc19_03202	bc19_03201,bc19_03202	2	RM_Type_III__Type_III_REases,RM_Type_III__Type_III_MTases
barcode19_RM_Type_I_12	RM	RM_Type_I	bc19_03309	bc19_03312	bc19_03309,bc19_03310,bc19_03312	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode19_AbiV_1	AbiV	AbiV	bc19_00348	bc19_00348	bc19_00348	1	AbiV__AbiV
barcode19_Gao_Ppl_4	Gao_Ppl	Gao_Ppl	bc19_00533	bc19_00533	bc19_00533	1	Gao_Ppl__PplA
barcode19_Gabija_2	Gabija	Gabija	bc19_02384	bc19_02385	bc19_02384,bc19_02385	2	Gabija__GajB_2,Gabija__GajA
barcode19_Gabija_3	Gabija	Gabija	bc19_02626	bc19_02627	bc19_02626,bc19_02627	2	Gabija__GajB_2,Gabija__GajA
barcode19_Wadjet_I_6	Wadjet	Wadjet_I	bc19_04391	bc19_04394	bc19_04391,bc19_04393,bc19_04394	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode19_SoFic_8	SoFIC	SoFic	bc19_00056	bc19_00056	bc19_00056	1	SoFic__SoFic
barcode19_SoFic_9	SoFIC	SoFic	bc19_00226	bc19_00226	bc19_00226	1	SoFic__SoFic
barcode19_Retron_XII_7	Retron	Retron_XII	bc19_00583	bc19_00583	bc19_00583	1	Retron_XII__RT_12
barcode19_pAgo_S1B_10	pAgo	pAgo_S1B	bc19_03052	bc19_03053	bc19_03052,bc19_03053	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
barcode20_Zorya_TypeI_7	Zorya	Zorya_TypeI	bc20_02738	bc20_02741	bc20_02738,bc20_02739,bc20_02740,bc20_02741	4	Zorya_TypeI__ZorD,Zorya_TypeI__ZorC,Zorya__ZorB,Zorya__ZorA
barcode20_Wadjet_I_6	Wadjet	Wadjet_I	bc20_04218	bc20_04221	bc20_04218,bc20_04220,bc20_04221	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode20_SoFic_9	SoFIC	SoFic	bc20_00056	bc20_00056	bc20_00056	1	SoFic__SoFic
barcode20_SoFic_10	SoFIC	SoFic	bc20_00222	bc20_00222	bc20_00222	1	SoFic__SoFic
barcode20_Retron_XII_8	Retron	Retron_XII	bc20_00589	bc20_00589	bc20_00589	1	Retron_XII__RT_12
barcode20_PrrC_11	PrrC	PrrC	bc20_00471	bc20_00475	bc20_00471,bc20_00472,bc20_00473,bc20_00475	4	RM__Type_I_REases,RM__Type_I_S,PrrC__PrrC,RM__Type_I_MTases
barcode20_RM_Type_I_13	RM	RM_Type_I	bc20_01246	bc20_01249	bc20_01246,bc20_01247,bc20_01249	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode20_AbiD_1	AbiD	AbiD	bc20_00329	bc20_00329	bc20_00329	1	AbiD__AbiD
barcode20_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc20_00538	bc20_00538	bc20_00538	1	Gao_Ppl__PplA
barcode20_AbiE_2	AbiE	AbiE	bc20_01075	bc20_01076	bc20_01075,bc20_01076	2	AbiEii__AbiEii,AbiEii__AbiEi_3
barcode20_Lamassu-Cap4_nuclease_4	Lamassu-Fam	Lamassu-Cap4_nuclease	bc20_02586	bc20_02588	bc20_02586,bc20_02587,bc20_02588	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
barcode21_Zorya_TypeI_7	Zorya	Zorya_TypeI	bc21_02682	bc21_02684	bc21_02682,bc21_02683,bc21_02684	3	Zorya_TypeI__ZorD,Zorya_TypeI__ZorC,Zorya__ZorB
barcode21_AbiD_1	AbiD	AbiD	bc21_00329	bc21_00329	bc21_00329	1	AbiD__AbiD
barcode21_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc21_00531	bc21_00531	bc21_00531	1	Gao_Ppl__PplA
barcode21_AbiE_2	AbiE	AbiE	bc21_01051	bc21_01052	bc21_01051,bc21_01052	2	AbiEii__AbiEii,AbiEii__AbiEi_3
barcode21_Lamassu-Cap4_nuclease_4	Lamassu-Fam	Lamassu-Cap4_nuclease	bc21_02526	bc21_02528	bc21_02526,bc21_02527,bc21_02528	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
barcode21_SoFic_9	SoFIC	SoFic	bc21_00054	bc21_00054	bc21_00054	1	SoFic__SoFic
barcode21_SoFic_10	SoFIC	SoFic	bc21_00219	bc21_00219	bc21_00219	1	SoFic__SoFic
barcode21_Retron_XII_8	Retron	Retron_XII	bc21_00582	bc21_00582	bc21_00582	1	Retron_XII__RT_12
barcode21_Wadjet_I_6	Wadjet	Wadjet_I	bc21_04164	bc21_04166	bc21_04164,bc21_04165,bc21_04166	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode21_RM_Type_I_11	RM	RM_Type_I	bc21_01226	bc21_01229	bc21_01226,bc21_01227,bc21_01229	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode21_RM_Type_IIG_14	RM	RM_Type_IIG	bc21_01970	bc21_01970	bc21_01970	1	RM_Type_IIG__Type_IIG
barcode21_RM_Type_II_13	RM	RM_Type_II	bc21_02240	bc21_02242	bc21_02240,bc21_02242	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
barcode21_RM_Type_I_12	RM	RM_Type_I	bc21_03082	bc21_03085	bc21_03082,bc21_03083,bc21_03085	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode21_RM_Type_IIG_15	RM	RM_Type_IIG	bc21_04310	bc21_04310	bc21_04310	1	RM_Type_IIG__Type_IIG
barcode22_AbiD_1	AbiD	AbiD	bc22_00341	bc22_00341	bc22_00341	1	AbiD__AbiD
barcode22_Gao_Ppl_4	Gao_Ppl	Gao_Ppl	bc22_00549	bc22_00549	bc22_00549	1	Gao_Ppl__PplA
barcode22_AbiE_2	AbiE	AbiE	bc22_01065	bc22_01066	bc22_01065,bc22_01066	2	AbiEii__AbiEii,AbiEii__AbiEi_3
barcode22_Gao_TerY_5	Gao_TerY	Gao_TerY	bc22_02674	bc22_02676	bc22_02674,bc22_02675,bc22_02676	3	Gao_TerY__TerYA,Gao_TerY__TerYB,Gao_TerY__TerYC
barcode22_Gabija_3	Gabija	Gabija	bc22_02690	bc22_02691	bc22_02690,bc22_02691	2	Gabija__GajB_2,Gabija__GajA
barcode22_Wadjet_I_7	Wadjet	Wadjet_I	bc22_04198	bc22_04201	bc22_04198,bc22_04200,bc22_04201	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode22_SoFic_10	SoFIC	SoFic	bc22_00054	bc22_00054	bc22_00054	1	SoFic__SoFic
barcode22_SoFic_11	SoFIC	SoFic	bc22_00240	bc22_00240	bc22_00240	1	SoFic__SoFic
barcode22_CBASS_I_9	CBASS	CBASS_I	bc22_02671	bc22_02672	bc22_02671,bc22_02672	2	CBASS__Effector_2TM_S_2TMBeta,CBASS__Cyclase_new
barcode22_PrrC_12	PrrC	PrrC	bc22_00483	bc22_00487	bc22_00483,bc22_00484,bc22_00485,bc22_00487	4	RM__Type_I_REases,RM__Type_I_S,PrrC__PrrC,RM__Type_I_MTases
barcode22_RM_Type_I_14	RM	RM_Type_I	bc22_01236	bc22_01239	bc22_01236,bc22_01237,bc22_01239	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode22_RM_Type_II_16	RM	RM_Type_II	bc22_02278	bc22_02282	bc22_02278,bc22_02282	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
barcode22_RM_Type_I_15	RM	RM_Type_I	bc22_03103	bc22_03106	bc22_03103,bc22_03106	2	RM__Type_I_REases,RM__Type_I_MTases
barcode23_AbiV_1	AbiV	AbiV	bc23_00347	bc23_00347	bc23_00347	1	AbiV__AbiV
barcode23_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc23_00531	bc23_00531	bc23_00531	1	Gao_Ppl__PplA
barcode23_Gabija_2	Gabija	Gabija	bc23_02381	bc23_02382	bc23_02381,bc23_02382	2	Gabija__GajB_2,Gabija__GajA
barcode23_RM_Type_III_13	RM	RM_Type_III	bc23_01030	bc23_01031	bc23_01030,bc23_01031	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
barcode23_RM_Type_I_10	RM	RM_Type_I	bc23_01210	bc23_01213	bc23_01210,bc23_01211,bc23_01213	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode23_RM_Type_IIG_12	RM	RM_Type_IIG	bc23_02348	bc23_02348	bc23_02348	1	RM_Type_IIG__Type_IIG
barcode23_RM_Type_I_11	RM	RM_Type_I	bc23_03204	bc23_03207	bc23_03204,bc23_03205,bc23_03207	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode23_SoFic_7	SoFIC	SoFic	bc23_00056	bc23_00056	bc23_00056	1	SoFic__SoFic
barcode23_SoFic_8	SoFIC	SoFic	bc23_00225	bc23_00225	bc23_00225	1	SoFic__SoFic
barcode23_Retron_XII_6	Retron	Retron_XII	bc23_00581	bc23_00581	bc23_00581	1	Retron_XII__RT_12
barcode23_pAgo_S1B_9	pAgo	pAgo_S1B	bc23_03032	bc23_03033	bc23_03032,bc23_03033	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
barcode23_Wadjet_I_5	Wadjet	Wadjet_I	bc23_04285	bc23_04288	bc23_04285,bc23_04287,bc23_04288	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode24_SoFic_7	SoFIC	SoFic	bc24_00056	bc24_00056	bc24_00056	1	SoFic__SoFic
barcode24_SoFic_8	SoFIC	SoFic	bc24_00225	bc24_00225	bc24_00225	1	SoFic__SoFic
barcode24_Retron_XII_6	Retron	Retron_XII	bc24_00580	bc24_00580	bc24_00580	1	Retron_XII__RT_12
barcode24_pAgo_S1B_9	pAgo	pAgo_S1B	bc24_03033	bc24_03034	bc24_03033,bc24_03034	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
barcode24_RM_Type_III_13	RM	RM_Type_III	bc24_01025	bc24_01026	bc24_01025,bc24_01026	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
barcode24_RM_Type_I_10	RM	RM_Type_I	bc24_01204	bc24_01207	bc24_01204,bc24_01205,bc24_01207	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode24_RM_Type_IIG_12	RM	RM_Type_IIG	bc24_02354	bc24_02354	bc24_02354	1	RM_Type_IIG__Type_IIG
barcode24_RM_Type_I_11	RM	RM_Type_I	bc24_03205	bc24_03208	bc24_03205,bc24_03206,bc24_03208	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode24_Wadjet_I_5	Wadjet	Wadjet_I	bc24_04286	bc24_04289	bc24_04286,bc24_04288,bc24_04289	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode24_AbiV_1	AbiV	AbiV	bc24_00347	bc24_00347	bc24_00347	1	AbiV__AbiV
barcode24_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc24_00530	bc24_00530	bc24_00530	1	Gao_Ppl__PplA
barcode24_Gabija_2	Gabija	Gabija	bc24_02386	bc24_02387	bc24_02386,bc24_02387	2	Gabija__GajB_2,Gabija__GajA
barcode25_Wadjet_I_6	Wadjet	Wadjet_I	bc25_04360	bc25_04363	bc25_04360,bc25_04362,bc25_04363	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode25_SoFic_8	SoFIC	SoFic	bc25_00225	bc25_00225	bc25_00225	1	SoFic__SoFic
barcode25_Retron_XII_7	Retron	Retron_XII	bc25_00581	bc25_00581	bc25_00581	1	Retron_XII__RT_12
barcode25_pAgo_S1B_9	pAgo	pAgo_S1B	bc25_03101	bc25_03102	bc25_03101,bc25_03102	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
barcode25_AbiV_1	AbiV	AbiV	bc25_00347	bc25_00347	bc25_00347	1	AbiV__AbiV
barcode25_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc25_00531	bc25_00531	bc25_00531	1	Gao_Ppl__PplA
barcode25_Shedu_4	Shedu	Shedu	bc25_01650	bc25_01650	bc25_01650	1	Shedu__SduA
barcode25_Gabija_2	Gabija	Gabija	bc25_02450	bc25_02451	bc25_02450,bc25_02451	2	Gabija__GajB_2,Gabija__GajA
barcode25_RM_Type_I_10	RM	RM_Type_I	bc25_01210	bc25_01213	bc25_01210,bc25_01211,bc25_01213	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode25_RM_Type_IIG_12	RM	RM_Type_IIG	bc25_02418	bc25_02418	bc25_02418	1	RM_Type_IIG__Type_IIG
barcode25_RM_Type_I_11	RM	RM_Type_I	bc25_03275	bc25_03278	bc25_03275,bc25_03276,bc25_03278	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode26_AbiD_1	AbiD	AbiD	bc26_00331	bc26_00331	bc26_00331	1	AbiD__AbiD
barcode26_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc26_00543	bc26_00543	bc26_00543	1	Gao_Ppl__PplA
barcode26_AbiE_2	AbiE	AbiE	bc26_01089	bc26_01090	bc26_01089,bc26_01090	2	AbiEii__AbiEii,AbiEii__AbiEi_3
barcode26_Lamassu-Cap4_nuclease_4	Lamassu-Fam	Lamassu-Cap4_nuclease	bc26_02584	bc26_02586	bc26_02584,bc26_02585,bc26_02586	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
barcode26_Wadjet_I_6	Wadjet	Wadjet_I	bc26_04218	bc26_04221	bc26_04218,bc26_04220,bc26_04221	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode26_SoFic_9	SoFIC	SoFic	bc26_00056	bc26_00056	bc26_00056	1	SoFic__SoFic
barcode26_SoFic_10	SoFIC	SoFic	bc26_00224	bc26_00224	bc26_00224	1	SoFic__SoFic
barcode26_Retron_XII_8	Retron	Retron_XII	bc26_00593	bc26_00593	bc26_00593	1	Retron_XII__RT_12
barcode26_PrrC_11	PrrC	PrrC	bc26_00474	bc26_00478	bc26_00474,bc26_00475,bc26_00476,bc26_00478	4	RM__Type_I_REases,RM__Type_I_S,PrrC__PrrC,RM__Type_I_MTases
barcode26_RM_Type_I_13	RM	RM_Type_I	bc26_01259	bc26_01262	bc26_01259,bc26_01260,bc26_01262	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode26_RM_Type_I_14	RM	RM_Type_I	bc26_03138	bc26_03141	bc26_03138,bc26_03139,bc26_03141	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode26_Zorya_TypeI_7	Zorya	Zorya_TypeI	bc26_02737	bc26_02742	bc26_02737,bc26_02740,bc26_02742	3	Zorya_TypeI__ZorD,Zorya_TypeI__ZorC,Zorya__ZorA
barcode27_PrrC_10	PrrC	PrrC	bc27_01206	bc27_01212	bc27_01206,bc27_01210,bc27_01212	3	RM__Type_I_REases,PrrC__PrrC,RM__Type_I_MTases
barcode27_RM_Type_II_15	RM	RM_Type_II	bc27_02064	bc27_02066	bc27_02064,bc27_02066	2	RM_Type_II__Type_II_REases,RM_Type_II__Type_II_MTases
barcode27_RM_Type_I_13	RM	RM_Type_I	bc27_03077	bc27_03081	bc27_03077,bc27_03080,bc27_03081	3	RM__Type_I_MTases,RM__Type_I_S,RM__Type_I_REases
barcode27_PrrC_11	PrrC	PrrC	bc27_03866	bc27_03870	bc27_03866,bc27_03868,bc27_03869,bc27_03870	4	RM__Type_I_MTases,PrrC__PrrC,RM__Type_I_S,RM__Type_I_REases
barcode27_Wadjet_I_6	Wadjet	Wadjet_I	bc27_00096	bc27_00098	bc27_00096,bc27_00097,bc27_00098	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
barcode27_SoFic_8	SoFIC	SoFic	bc27_00054	bc27_00054	bc27_00054	1	SoFic__SoFic
barcode27_Retron_XII_7	Retron	Retron_XII	bc27_03752	bc27_03752	bc27_03752	1	Retron_XII__RT_12
barcode27_SoFic_9	SoFIC	SoFic	bc27_04103	bc27_04103	bc27_04103	1	SoFic__SoFic
barcode27_Lamassu-Cap4_nuclease_4	Lamassu-Fam	Lamassu-Cap4_nuclease	bc27_01752	bc27_01754	bc27_01752,bc27_01753,bc27_01754	3	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease,Lamassu-Fam__LmuA_effector_Cap4_nuclease_II
barcode27_AbiE_2	AbiE	AbiE	bc27_03258	bc27_03259	bc27_03258,bc27_03259	2	AbiEii__AbiEi_3,AbiEii__AbiEii
barcode27_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc27_03803	bc27_03803	bc27_03803	1	Gao_Ppl__PplA
barcode27_AbiD_1	AbiD	AbiD	bc27_04213	bc27_04213	bc27_04213	1	AbiD__AbiD
barcode28_AbiD_1	AbiD	AbiD	bc28_00337	bc28_00337	bc28_00337	1	AbiD__AbiD
barcode28_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc28_00540	bc28_00540	bc28_00540	1	Gao_Ppl__PplA
barcode28_Gabija_2	Gabija	Gabija	bc28_02703	bc28_02705	bc28_02703,bc28_02705	2	Gabija__GajA,Gabija__GajB_2
barcode28_Lit_4	Lit	Lit	bc28_02714	bc28_02714	bc28_02714	1	Lit__Lit
barcode28_Wadjet_I_6	Wadjet	Wadjet_I	bc28_04387	bc28_04390	bc28_04387,bc28_04389,bc28_04390	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode28_SoFic_12	SoFIC	SoFic	bc28_00232	bc28_00232	bc28_00232	1	SoFic__SoFic
barcode28_Retron_XII_10	Retron	Retron_XII	bc28_00590	bc28_00590	bc28_00590	1	Retron_XII__RT_12
barcode28_SEFIR_11	SEFIR	SEFIR	bc28_02472	bc28_02472	bc28_02472	1	SEFIR__bSEFIR
barcode28_CBASS_II_9	CBASS	CBASS_II	bc28_02706	bc28_02708	bc28_02706,bc28_02707,bc28_02708	3	CBASS__AG_E1_ThiF,CBASS__Cyclase_II,CBASS__Sensing_SAVED
barcode28_RM_Type_I_13	RM	RM_Type_I	bc28_01265	bc28_01268	bc28_01265,bc28_01266,bc28_01268	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode28_RM_Type_IIG_14	RM	RM_Type_IIG	bc28_02508	bc28_02508	bc28_02508	1	RM_Type_IIG__Type_IIG
barcode29_AbiV_1	AbiV	AbiV	bc29_00347	bc29_00347	bc29_00347	1	AbiV__AbiV
barcode29_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc29_00531	bc29_00531	bc29_00531	1	Gao_Ppl__PplA
barcode29_Gabija_2	Gabija	Gabija	bc29_02388	bc29_02389	bc29_02388,bc29_02389	2	Gabija__GajB_2,Gabija__GajA
barcode29_Wadjet_I_5	Wadjet	Wadjet_I	bc29_04293	bc29_04296	bc29_04293,bc29_04295,bc29_04296	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode29_SoFic_7	SoFIC	SoFic	bc29_00056	bc29_00056	bc29_00056	1	SoFic__SoFic
barcode29_SoFic_8	SoFIC	SoFic	bc29_00225	bc29_00225	bc29_00225	1	SoFic__SoFic
barcode29_Retron_XII_6	Retron	Retron_XII	bc29_00581	bc29_00581	bc29_00581	1	Retron_XII__RT_12
barcode29_pAgo_S1B_9	pAgo	pAgo_S1B	bc29_03033	bc29_03034	bc29_03033,bc29_03034	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
barcode29_RM_Type_III_13	RM	RM_Type_III	bc29_01026	bc29_01027	bc29_01026,bc29_01027	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
barcode29_RM_Type_I_10	RM	RM_Type_I	bc29_01205	bc29_01208	bc29_01205,bc29_01206,bc29_01208	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode29_RM_Type_IIG_12	RM	RM_Type_IIG	bc29_02356	bc29_02356	bc29_02356	1	RM_Type_IIG__Type_IIG
barcode29_RM_Type_I_11	RM	RM_Type_I	bc29_03210	bc29_03213	bc29_03210,bc29_03211,bc29_03213	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode30_RM_Type_I_13	RM	RM_Type_I	bc30_01301	bc30_01304	bc30_01301,bc30_01303,bc30_01304	3	RM__Type_I_MTases,RM__Type_I_S,RM__Type_I_REases
barcode30_RM_Type_IIG_15	RM	RM_Type_IIG	bc30_02344	bc30_02344	bc30_02344	1	RM_Type_IIG__Type_IIG
barcode30_RM_Type_I_14	RM	RM_Type_I	bc30_03243	bc30_03246	bc30_03243,bc30_03245,bc30_03246	3	RM__Type_I_MTases,RM__Type_I_S,RM__Type_I_REases
barcode30_RosmerTA_7	RosmerTA	RosmerTA	bc30_02345	bc30_02346	bc30_02345,bc30_02346	2	RosmerTA__RmrA_2634932349,RosmerTA__RmrT_2634932349
barcode30_AbiD_1	AbiD	AbiD	bc30_00341	bc30_00341	bc30_00341	1	AbiD__AbiD
barcode30_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc30_00541	bc30_00541	bc30_00541	1	Gao_Ppl__PplA
barcode30_Gabija_2	Gabija	Gabija	bc30_02378	bc30_02379	bc30_02378,bc30_02379	2	Gabija__GajB_2,Gabija__GajA
barcode30_RloC_4	RloC	RloC	bc30_03444	bc30_03444	bc30_03444	1	RloC__RloC
barcode30_SoFic_11	SoFIC	SoFic	bc30_00056	bc30_00056	bc30_00056	1	SoFic__SoFic
barcode30_SoFic_12	SoFIC	SoFic	bc30_00235	bc30_00235	bc30_00235	1	SoFic__SoFic
barcode30_BREX_I_9	BREX	BREX_I	bc30_01206	bc30_01211	bc30_01206,bc30_01207,bc30_01208,bc30_01209,bc30_01210,bc30_01211	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL
barcode30_Retron_XII_10	Retron	Retron_XII	bc30_03927	bc30_03927	bc30_03927	1	Retron_XII__RT_12
barcode30_Wadjet_I_6	Wadjet	Wadjet_I	bc30_04328	bc30_04331	bc30_04328,bc30_04330,bc30_04331	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode31_Detocs_5	Detocs	Detocs	bc31_02037	bc31_02039	bc31_02037,bc31_02038,bc31_02039	3	Detocs__dtcC,Detocs__dtcB,Detocs__dtcA
barcode31_Shango_9	Shango	Shango	bc31_02469	bc31_02471	bc31_02469,bc31_02470,bc31_02471	3	Shango__SngA,Shango__SngB,Shango__SngC
